"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Kaarina Kaarina","2024","3","24","14:00","6.1"
"Kaarina Kaarina","2024","3","24","15:00","5.8"
"Kaarina Kaarina","2024","3","24","16:00","4.1"
"Kaarina Kaarina","2024","3","24","17:00","3.7"
"Kaarina Kaarina","2024","3","24","18:00","13.3"
"Kaarina Kaarina","2024","3","24","19:00","11.7"
"Kaarina Kaarina","2024","3","24","20:00","13.8"
"Kaarina Kaarina","2024","3","24","21:00","10.7"
"Kaarina Kaarina","2024","3","24","22:00","8.7"
"Kaarina Kaarina","2024","3","24","23:00","10.3"
"Kaarina Kaarina","2024","3","25","00:00","8.4"
"Kaarina Kaarina","2024","3","25","01:00","17.3"
"Kaarina Kaarina","2024","3","25","02:00","12.6"
"Kaarina Kaarina","2024","3","25","03:00","12.4"
"Kaarina Kaarina","2024","3","25","04:00","9.1"
"Kaarina Kaarina","2024","3","25","05:00","8.4"
"Kaarina Kaarina","2024","3","25","06:00","12"
"Kaarina Kaarina","2024","3","25","07:00","72.1"
"Kaarina Kaarina","2024","3","25","08:00","79.9"
